"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"53","ERR594382","TARA_065_DCM","Marine","Virome",97.5,2529211511,25929874,237472,10831,2986,1197,337,82,181667310,65906641,42852430,30566065,17508046,8712940,10831,65906641,8662,2482,1455,7861,761,510,456,321,199,471,23,16,307,83,99,17
"54","ERR599110","TARA_065_DCM","Marine","Mixed MG",97.5,12396272499,127163904,912492,21067,3191,563,33,1,490595072,77344881,25920574,8345821,1074142,78945,21067,77344881,3670,2211,6206,17384,89,63,56,47,37,60,3,0,54,1,5,3
"55","ERR594359","TARA_065_SRF","Marine","Virome",97.1,2699622970,27791690,249768,11471,2949,1031,264,60,179795018,60985652,35849031,22959356,11679119,4656602,11471,60985652,6416,2404,1995,8683,784,600,557,362,229,563,26,11,390,98,98,5
"56","ERR599146","TARA_065_SRF","Marine","Mixed MG",98.6,9841987382,99838286,878918,22651,3745,696,61,10,479486039,86560049,31512311,11239939,2399615,771967,22651,86560049,3889,2232,6432,18549,163,87,74,64,61,81,2,4,71,6,5,5
"57","ERR594389","TARA_066_DCM","Marine","Virome",97.2,5495991317,56535178,299557,17498,4754,1762,507,180,259522172,112997074,75285886,55006126,36510435,25415131,17498,112997074,9447,2530,1916,12450,1029,808,736,552,206,729,20,59,621,74,70,38
"58","ERR598982","TARA_066_DCM","Marine","Mixed MG",103.3,2374178251,22993470,396418,7251,761,154,16,0,207718916,24552893,6451053,2492635,500231,0,7251,24552893,3235,2160,2259,6070,42,21,20,17,18,19,1,1,17,3,0,1
"59","ERR594362","TARA_066_SRF","Marine","Virome",97.2,5041778329,51873764,278543,15303,4447,1803,545,219,249976798,112973928,80792310,62687714,43759956,32697289,15303,112973928,13218,2650,1263,10368,1003,700,659,534,197,627,28,45,472,96,99,29
"60","ERR599173","TARA_066_SRF","Marine","Mixed MG",98.3,7155216747,72819482,719992,22594,3713,729,75,9,419062959,86544052,31410617,11586089,2733162,518038,22594,86544052,3870,2236,6420,18498,110,76,71,52,53,70,1,5,65,4,1,6
"61","ERR594404","TARA_067_SRF","Marine","Virome",97.8,2758522111,28201526,127299,10811,3498,1377,349,94,136682382,72330794,50473805,35976872,20786526,12211525,10811,72330794,9903,2647,1396,7651,1352,991,980,672,334,921,49,21,694,141,131,12
"62","ERR599144","TARA_067_SRF","Marine","Mixed MG",103.8,3640140860,35071594,515770,16161,2952,713,85,9,304168528,65335903,27008660,12094317,3143953,691192,16161,65335903,4176,2250,4195,13076,220,59,58,54,31,56,3,0,37,6,15,0
