,SRR8487029,SRR8487034,SRR8487015,SRR8487030,SRR8487021,SRR8487010,SRR8487022,SRR8487020,SRR8487018,SRR8487035,SRR8487011,SRR8487013,SRR8487023,SRR8487039,SRR8487032,SRR8487025,SRR8487014,SRR8487036,SRR8487019,SRR8487017,SRR8487037,SRR8487024,SRR8487031,SRR8487027,SRR8487026,SRR8487028,SRR8487040,SRR8487038,SRR8487012,SRR8487016
SRR8487011_vRhyme_unbinned_168,0,0.826811,0.18642798,0.0316403,0.6113239,0.5738551,0.87177354,0.8251457,0.61981684,0.696836,0.82955873,0,0.5054954,0.03646961,0.012489592,0,0.8562864,0.37535387,0.62406325,0.70824313,0,0,0,0,0.024979183,0,0.004746045,0,0.07260616,0.9701083
SRR8487019_vRhyme_unbinned_293,0,0.10691441,0.07759671,0,0.1672251,0.9204234,0.82927203,0.8387146,0.3144228,0.35013705,0.68055135,0,0.2680475,0,0,0,0.29134938,0.09046604,0.8114529,0.9105239,0,0,0,0.012183978,0,0,0,0,0,0.8801401
SRR8487018_vRhyme_unbinned_684,0,0.8295831,0.41008198,0,0.97092855,0.3644398,0.47653934,0.26984128,0.9209838,0.9309844,0.37694052,0.035234608,0.89691263,0.008721437,0,0,0.9592418,0.6243386,0.3069946,0.32874003,0.008721437,0,0.020408163,0.028606314,0.011977441,0,0,0.006279435,0.045235187,0.32565847
SRR8487010_vRhyme_unbinned_465,0.05564189,0.42955458,0.057095,0.006417889,0.5547842,0.99566084,0.9982845,0.9321682,0.81089425,0.6642919,0.99687177,0.011180852,0.6865729,0.009041555,0.006054613,0.012109226,0.5457426,0.5872571,0.9865184,0.9488991,0.003027306,0,0,0.017376738,0.062402874,0.003027306,0.008859917,0.018789481,0.017719833,0.9083533
SRR8487022_vRhyme_unbinned_474,0,0.9589131,0.034786034,0.006103965,0.97276187,0.39774218,0.9998031,0.88067734,0.84536624,0.2857049,0.5530979,0.044237334,0.992649,0.043580994,0.01647414,0.0850617,0.43147808,0.15811236,0.92990285,0.446377,0.009910738,0,0.011551589,0,0.023825152,0,0.08538987,0,0.054673143,0.7613547
SRR8487022_vRhyme_unbinned_17,0,0.61613214,0.079240486,0,0.47753608,0.99192643,0.99424386,0.891904,0.71974283,0.6136652,0.97592884,0,0.3422292,0.004709576,0,0,0.4400837,0.5755401,0.6248038,0.94258803,0,0,0.011587053,0,0.009344397,0,0,0,0,0.89773494
SRR8487022_vRhyme_unbinned_83,0,0.80154693,0.13192803,0.012102753,0.8688334,0.7623131,0.7911674,0.81585383,0.9382439,0.8675911,0.8561696,0.061315272,0.9344768,0.07454014,0,0.006011301,0.9202902,0.5873041,0.99386847,0.23752655,0,0.008816575,0.009016952,0.02813289,0.032901857,0,0.11886346,0.008415822,0.05177734,0.8389372
SRR8487017_vRhyme_unbinned_575,0,0.42666844,0.96852446,0.21217589,0.99975497,0.99748284,0,0,0,0.9992872,0,0.021562861,0.5332799,0,0,0,0.012162523,0.17299296,0.06716119,0.976165,0,0.022743473,0,0,0.12988952,0.02668627,0.22576405,0.001603849,0,0
SRR8487019_vRhyme_unbinned_58,0,0.44423285,0.06265869,0,0.7178092,0.8943598,0.83940876,0.9388828,0.80703664,0.41240478,0.89318097,0,0.7382118,0.020765325,0,0,0.5275662,0.47606093,0.9474973,0.91938704,0,0,0,0.052774753,0.013692419,0,0.010700036,0.011425463,0,0.9098658
SRR8487022_vRhyme_unbinned_314,0,0.413967,0.072647914,0,0.80756545,0.67303586,0.91804075,0.9757517,0.6838991,0.3671193,0.91377306,0,0.93355966,0,0.014548982,0,0.26867118,0.42909795,0.8873909,0.8722599,0.014548982,0,0,0,0,0,0.005237633,0.02114452,0.0314258,0.842968
SRR8487035_vRhyme_unbinned_315,0,0.95075685,0.3376939,0.014016071,0.9852364,0.8529247,0.75490564,0.86086714,0.9877593,0.98691833,0.89768267,0.047374323,0.9666417,0.22079985,0.025976453,0,0.9848626,0.9551486,0.5810129,0.68968415,0,0,0.046813678,0.15940946,0.10100916,0,0.06410017,0.022238834,0.024574846,0.96271724
SRR8487018_vRhyme_unbinned_522,0,0.90171796,0.2745269,0.014737944,0.6252725,0,0.14397837,0.069591,1,0.08075347,0.19691288,0.037324496,0.75085026,0,0,0,0.8632598,0.96450686,0.09557862,0.26571903,0,0,0,0.045260314,0,0,0.040638354,0,0,0.2318828
SRR8487020_vRhyme_unbinned_367,0,0.34694064,0.009364488,0.004727703,0.34539503,0.88071644,0.8683517,0.9765433,0.8491681,0.37057915,0.6948814,0.022547504,0.33184835,0.01409219,0,0,0.6882444,0.120556414,0.96099645,0.7387035,0,0,0.041640148,0.013819438,0.019910902,0,0,0,0.051459223,0.9464497
SRR8487010_vRhyme_unbinned_82,0,0,0.013226018,0,0.0573942,1,0,0,0,0.64132446,0.008491531,0,0.029643998,0,0,0,0.2626113,0.05937963,0.057302564,0.014295096,0,0.003833407,0,0.006399194,0.023137895,0,0,0,0,0.8809658
SRR8487022_vRhyme_unbinned_223,0,0.36986798,0.06854766,0,0.50743353,0.7225538,0.99649125,0.888913,0.556701,0.17453428,0.88536805,0,0.30699944,0.004196057,0,0,0.1309821,0.1472599,0.8370411,0.9795623,0,0,0,0.005425936,0,0.00871767,0.005425936,0,0,0.5453789
SRR8487010_vRhyme_unbinned_103,0.04775143,0.6764513,0.91283727,0.10040883,0.9987735,0.9994276,0.44791496,0.47726902,0.48013082,0.99754703,0.9976288,0.024529845,0.99722,0.036222406,0,0.012264922,0.99362224,0.979722,0.9994276,0.99844646,0,0.05478332,0.058053967,0.043417826,0.07432543,0.03818479,0.014472608,0,0,0.998937
