,SRR8487021,SRR8487020,SRR8487015,SRR8487022,SRR8487040,SRR8487010,SRR8487035,SRR8487024,SRR8487013,SRR8487037,SRR8487032,SRR8487025,SRR8487034,SRR8487027,SRR8487017,SRR8487029,SRR8487014,SRR8487028,SRR8487023,SRR8487012,SRR8487011,SRR8487019,SRR8487030,SRR8487016,SRR8487036,SRR8487026,SRR8487031,SRR8487038,SRR8487039,SRR8487018
SRR8487022_vRhyme_unbinned_562,0,0.4303624,0,8.305731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR8487017_vRhyme_unbinned_249,0,3.1918643,0,2.775485,0,3.0680802,0.20164154,0,0,0,0,0,0,0,3.5719652,0,0,0,0,0,0.8079298,3.372202,0,2.235733,0,0,0,0,0,0.1386559
SRR8487020_vRhyme_unbinned_195,0,22.702347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.888483,0,0,0.19188967,0,0,0,0,0,0
SRR8487035_vRhyme_unbinned_642,8.926063,2.0033016,2.5352676,5.297949,0,6.6547275,7.794297,0,0,0,0,0,3.0268135,0,13.367084,0,3.743972,0,7.7956977,0,5.5590796,10.090045,0.07173587,13.082842,1.9176588,0,0,0,0,2.945873
SRR8487036_vRhyme_unbinned_425,15.767309,0,11.8722515,0,0,0,10.386996,0,0.07996717,0,0,0,2.2056634,0,0,0,24.403118,0,18.996073,0.28850326,0,0,0.07949816,0,15.38512,0,0,0,0,20.461218
SRR8487017_vRhyme_unbinned_293,25.8343,5.3544865,3.165245,9.353747,0,4.7142043,19.138973,0,0,0,0,0,13.652394,0,4.3034234,0,14.44723,0,19.44251,0,4.3131466,7.5151825,0,3.8584101,13.080291,0.06078699,0,0,0,25.434265
SRR8487021_vRhyme_unbinned_611,61.643353,15.416062,3.1533709,24.682352,1.7800698,3.4448025,33.528282,0,0,0,0,0,42.411335,0.6870266,5.9632554,0,54.916733,0,51.787483,1.9538544,5.726511,9.711147,0,7.4576955,50.964222,0.48697287,1.2095084,0,5.0666666,94.351974
SRR8487022_vRhyme_bin_109,0,0,0,66.09054,0,0,0,0,0,0,0.39289236,0,5.8669868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR8487014_vRhyme_unbinned_122,7.2678375,0.22898374,1.7021899,0.18427692,0,0.115652435,2.7680895,0,0,0,0,0,9.02745,0,0,0,22.17469,0,19.252901,0,0,0.6520335,0,0.23372692,7.28792,0,0,0,0,16.205975
SRR8487016_vRhyme_unbinned_388,4.089118,4.4736614,0.69634867,6.599437,0,4.499062,2.5825515,0,0,0,0,0,4.2568192,0,9.969909,0,3.9766922,0,3.3244336,0,1.3928417,5.3288355,0,11.75386,1.4436426,0,0,0,0,5.2637467
SRR8487019_vRhyme_unbinned_378,0.7394906,2.3918452,0.09294881,2.1700037,0,2.1892674,0.73626125,0,0,0,0,0,0.6127039,0,2.471343,0,0.8354441,0,1.2528994,0,1.2906967,4.100952,0,2.8775377,0.18345454,0,0,0,0,1.6779366
SRR8487015_vRhyme_bin_14,0,4.985854,9.251533,0.86210656,0,0,0,0,0,0,0,0,0.1782683,0,0,0,16.596989,0,0.12109513,0,0,0,0,0.40097842,0.9653719,0,0,0,0,8.7844515
SRR8487017_vRhyme_unbinned_164,0.6152495,1.3897772,0,2.4342296,0,4.6112523,1.4170907,0,0,0,0,0,0.18435077,0,2.3272772,0,0.67223835,0,0.53185564,0,1.2672602,2.507207,0,2.0154433,0.48407218,0,0,0,0,0.21027131
SRR8487018_vRhyme_unbinned_142,21.060675,0,11.518167,0,0.36833945,0,18.482246,0,0,0,0,0,6.120058,0.2854411,0,0,42.139076,0,24.308905,0.3242028,0,0,0.29929194,0,27.494081,0,0.3796062,0,0,44.79105
SRR8487018_vRhyme_unbinned_854,0.072644345,0,0,0.23528758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.932695
SRR8487022_vRhyme_unbinned_482,2.2076719,5.160015,0,9.416572,0,4.2803555,0.9521387,0,0,0,0,0,2.005058,0,2.5712657,0,1.4992837,0,1.9345379,0.07747858,3.7432096,4.115955,0,4.1325617,0.44039997,0,0,0,0,2.9538052
SRR8487011_vRhyme_unbinned_398,15.32205,1.0729569,2.5864966,2.2884429,0,0.81310445,16.455694,0,0,0,0,0,9.529678,0.09290377,0.52345264,0,13.836376,0,19.185747,0.11466393,2.2679522,0.936412,0,1.5525266,7.2116175,0,0,0,1.535058,29.59097
SRR8487020_vRhyme_unbinned_487,5.1313252,1.638779,0.10972518,0.32096136,0,0,1.3496603,0,0,0,0,0,1.7806511,0,0.2039347,0,7.934084,0,5.615759,0,0.20352906,0.67822737,0,0.84626305,3.0402596,0,0,0,0,9.714329
SRR8487010_vRhyme_unbinned_449,0.22359444,0,0.22498235,0,0,11.042507,2.5056221,0,0,0,0,0,0,0,5.621383,0,0,0,0.67984,0,0.088426255,3.5454247,0,0.45551634,0,0,0,0,0,0
