,SRR9161502,SRR9161504,SRR9161503,SRR9162903,SRR9161510,SRR9161505,SRR9162901,SRR9162902,SRR9162906,SRR9161500,SRR9162899,SRR9161509,SRR9161501,SRR9161507,SRR9162900,SRR9162905,SRR9162908,SRR9161506,SRR9162904,SRR9162907
SRR9161510_vRhyme_unbinned_44,0,0.003015787,0.004810898,0,1,0,0,0,0,0.03310185,0,0,0,0,0,0,0.31686276,0.005928996,0,0
SRR9161504_vRhyme_unbinned_56,0.89169025,0.99899983,0.8730205,0.97720456,0,0.607893,0.11818636,0.21670279,0,0.9692032,0.12372895,0.9556176,0.86422735,0,0.24795799,0,0,0.01846141,0.31621936,0.25170863
SRR9161502_vRhyme_unbinned_287,1,0,0,0,0,0,0.34886706,0,0.00522659,0.009232599,0,0.011736355,0,0.023410115,0,0.004694542,0,0,0,0
SRR9161502_vRhyme_unbinned_63,1,0,0,0,0,0,0.095469125,0,0,0.021708742,0,0.044897623,0,0,0,0,0,0.024669023,0,0
SRR9161506_vRhyme_unbinned_170,0.92156714,0.018503258,0.94568884,0,0.73368794,0.9671136,0.6223687,0.5129223,0.015431868,0.31253278,0,0.77930933,0.42939547,0.79159486,0.02194921,0.8014833,0.6145779,0.9999251,0.74402577,0.20525882
SRR9161503_vRhyme_unbinned_114,0.6317234,0.14952172,0.9998432,0.11243531,0,0.6375255,0.20315196,0.87180495,0.2222048,0.0694684,0.12333386,0.58397365,0.03983064,0.19821233,0,0.15305002,0.08287596,0.55731535,0.25780147,0.2927709
SRR9161500_vRhyme_unbinned_94,0.92786866,0.5688715,0.41530347,0.13857278,0,0.334578,0.26635846,0.1993836,0.099632524,1,0.92650545,0.59767663,0,0.25397107,0,0.15374584,0.2719891,0.84192747,0.15842816,0.17609057
SRR9161502_vRhyme_unbinned_55,1,0.045623913,0.20112611,0.12652148,0,0,0.48331538,0.07170655,0.0245922,0,0,0.7572245,0.01929287,0,0.027241865,0,0.0942287,0.031216362,0.012420303,0.10151528
SRR9161500_vRhyme_unbinned_101,0.78821796,0,0.60607153,0.004513043,0.67126995,0.8496254,0.36483437,0.26855612,0.022565214,1,0.23627283,0.37912568,0.66811085,0.48909348,0.013839997,0.22808918,0.47970635,0.49050757,0.39877245,0.09158468
SRR9161500_vRhyme_unbinned_142,0,0,0,0,0.44261363,0,0,0,0.03465909,0.9996449,0.6830966,0.31264204,0,0.12549716,0,0,0.1412642,0.5259943,0,0.057670455
SRR9161506_vRhyme_unbinned_334,0,0.1781402,0,0,0,0,0,0,0,0.045867965,0,0,0,0,0,0.49968636,0,1,0,0
SRR9161500_vRhyme_unbinned_20,0.014417144,0.14961292,0.11191518,0,0,0.25978908,0,0,0,1,0,0.011219567,0.09531022,0,0.025244026,0,0,0,0.02541232,0.008414676
SRR9161502_vRhyme_unbinned_241,0.9989155,0,0,0,0,0,0.8766539,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9161506_vRhyme_unbinned_412,0.026490066,0.0079152,0.049599268,0.006562854,0.006304318,0.014557604,0.026410516,0.007318577,0.3994392,0.12966609,0.010639779,0.027106578,0.00783565,0.61647075,0.006045781,0.97975457,0.006582742,1,0,0.026410516
SRR9161505_vRhyme_unbinned_112,0.24620424,0.045973025,0.11976878,0,0,1,0.08620424,0.059344895,0.09668593,0.057764933,0.025433525,0.30971098,0,0.11140655,0,0.13857418,0.07256262,0.34616572,0.6506744,0.018651253
SRR9161502_vRhyme_unbinned_275,1,0,0,0,0,0,0.69732803,0,0,0,0,0,0,0,0,0,0,0,0,0
